id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
39574578,Guesthouse in Barcelona · 2 bedrooms · 3 beds · 1.5 baths,304066928,Regina,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38962,2.17841,Entire home/apt,150,30,0,,,1,180,0,
39576026,Rental unit in Barcelona · 3 bedrooms · 5 beds · 1 bath,1447144,Acomodis Apartments,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38379,2.18105,Entire home/apt,234,2,0,,,141,365,0,HUTB-003898
39577839,Rental unit in Barcelona · 4 bedrooms · 7 beds · 2 baths,4085156,BBarcelona,Eixample,la Sagrada Família,41.40923,2.17827,Entire home/apt,307,2,2,2023-05-07,0.78,21,131,2,HUTB-010733
39221445,Rental unit in Barcelona · ★4.61 · 2 bedrooms · 2 beds · 2 baths,37610930,Jacobo,Eixample,la Nova Esquerra de l'Eixample,41.38184,2.15654,Entire home/apt,194,2,75,2023-06-06,1.73,2,28,41,HUTB-005331
39852429,Rental unit in Barcelona · ★4.94 · 3 bedrooms · 4 beds · 2 baths,305531645,5 Stars Apartment Arc De Triomf,Eixample,el Fort Pienc,41.39368,2.18004,Entire home/apt,303,4,85,2023-05-23,2.00,1,171,42,HUTB-007933
39236541,Rental unit in Barcelona · ★4.10 · 3 bedrooms · 4 beds · 1 bath,299241906,Gesthotel,Ciutat Vella,el Raval,41.38225,2.16991,Entire home/apt,607,2,20,2023-02-17,0.46,4,131,5,HUTB-052256
39857273,Rental unit in Barcelona · ★5.0 · 3 bedrooms · 4 beds · 2 baths,75620994,Sabrina,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.3954,2.1495,Entire home/apt,349,30,3,2023-03-23,0.25,14,130,3,HUTB-011383
39237109,Rental unit in Barcelona · ★4.63 · 4 bedrooms · 7 beds · 1 bath,299241906,Gesthotel,Ciutat Vella,el Barri Gòtic,41.38301,2.17215,Entire home/apt,490,2,52,2023-03-19,1.19,4,131,17,HUTB-052261
39585611,Rental unit in Barcelona · 1 bedroom · 1 bed · 1.5 shared baths,304091904,Gabriel,Gràcia,la Vila de Gràcia,41.40178,2.1534,Private room,40,1,0,,,1,0,0,
39589067,Rental unit in Barcelona · ★4.75 · 1 bedroom · 2 beds · 1 shared bath,154808938,Josep,Sants-Montjuïc,la Marina de Port,41.36433,2.13712,Private room,60,1,72,2022-04-01,1.67,1,0,0,
39862403,Rental unit in BARCELONA · ★4.03 · 1 bedroom · 2 beds · 1 bath,4459553,AB Apartment,Eixample,Sant Antoni,41.38225,2.16205,Entire home/apt,314,3,29,2023-05-04,0.70,190,343,13,HUTB-003244
39592983,Rental unit in Barcelona · 1 bedroom · 1 bed · 1 shared bath,298587474,Andrea,Eixample,Sant Antoni,41.37575,2.15038,Private room,35,1,0,,,1,0,0,
39593635,Rental unit in Barcelona · ★4.61 · 2 bedrooms · 3 beds · 1 bath,299462,Stay U-Nique,Eixample,Sant Antoni,41.37967,2.16283,Entire home/apt,750,5,18,2020-03-15,0.41,149,364,0,HUTB003402
39243438,Rental unit in Barcelona · 2 bedrooms · 3 beds · 1.5 baths,158023606,Habitat Apartments,Ciutat Vella,el Raval,41.38143,2.1689,Entire home/apt,157,1,1,2023-02-16,0.26,133,171,1,Exempt
39246801,Rental unit in Barcelona · ★4.57 · 3 bedrooms · 3 beds · 1 bath,35936647,Casa Cosi,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40279,2.14503,Entire home/apt,234,1,23,2023-05-04,0.52,41,325,10,HUTB-004323
39863843,Rental unit in Barcelona · 3 bedrooms · 4 beds · 2 baths,1447144,Acomodis Apartments,Eixample,el Fort Pienc,41.39777,2.17803,Entire home/apt,260,1,0,,,141,195,0,HUTB-002422
39249313,Home in Barcelona · ★4.67 · 1 bedroom · 1 bed · 1 bath,294517194,Facundo,Sants-Montjuïc,Sants,41.37357,2.1381,Entire home/apt,50,31,6,2022-01-02,0.14,1,280,0,
39598491,Serviced apartment in Barcelona · ★4.47 · 2 bedrooms · 4 beds · 1 bath,266006958,Sata Sagrada Familia,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.408398,2.165248,Entire home/apt,226,3,202,2023-06-06,4.93,3,52,145,HUTB-001471
39864407,Rental unit in Barcelona · 1 bedroom · 1 bed · 1 bath,306877310,Lucas,Ciutat Vella,el Barri Gòtic,41.3796,2.1753,Private room,80,1,0,,,1,2,0,Exempt
39256259,Condo in Barcelona · ★4.46 · 1 bedroom · 1 bed · 1.5 shared baths,285121025,Joan,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38988556935706,2.1805191987356474,Private room,56,2,28,2023-06-08,0.63,1,8,22,
39865509,Rental unit in Barcelona · 3 bedrooms · 4 beds · 2 baths,1447144,Acomodis Apartments,Eixample,el Fort Pienc,41.39819,2.17817,Entire home/apt,269,1,0,,,141,195,0,HUTB-002422
39262043,Rental unit in Barcelona · ★4.79 · 1 bedroom · 3 beds · 1 bath,222058736,Sara,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40202,2.14984,Entire home/apt,140,28,19,2023-04-21,0.45,3,335,7,Exempt
39602082,Rental unit in Barcelona · ★4.45 · Studio · 3 beds · 1 bath,304288450,Alguera Hola,Les Corts,les Corts,41.38119,2.12981,Entire home/apt,197,1,114,2023-05-19,2.66,2,216,27,HUTB-007764
39869964,Rental unit in Barcelona · 1 bedroom · 1 bed · 1 private bath,75740659,Fran,Eixample,la Sagrada Família,41.40526,2.1758,Private room,51,2,1,2020-02-03,0.02,1,0,0,
39265283,Rental unit in Barcelona · ★4.88 · 2 bedrooms · 3 beds · 1 bath,301446770,Xavi & Luna The Family Host,Sant Martí,el Parc i la Llacuna del Poblenou,41.39175,2.1863,Entire home/apt,211,5,93,2023-06-05,2.15,9,106,39,HUTB-005227
39876305,Rental unit in Barcelona · 1 bedroom · 1 bed · 1 shared bath,171317914,Mila,Ciutat Vella,el Raval,41.37854,2.16721,Private room,30,2,0,,,4,0,0,
39605725,Rental unit in Barcelona · ★4.83 · 1 bedroom · 2 beds · 2 shared baths,304318776,Andrea&Lana&Alejandro,Eixample,la Dreta de l'Eixample,41.39631,2.17081,Private room,127,1,133,2023-06-03,3.03,2,61,94,
39877397,Rental unit in Barcelona · 2 bedrooms · 2 beds · 1.5 shared baths,171317914,Mila,Ciutat Vella,el Raval,41.37889,2.16807,Private room,30,2,2,2020-01-15,0.05,4,0,0,
